compound,broad_id,cohens_d,p_value,n_lost,n_intact,median_sensitivity_lost,median_sensitivity_intact,fdr
Difelikefalin,BRD-K00077991-001-02-9,-0.008,0.6625821147129236,63,545,-0.0232,0.0474,0.9962626903601212
temanogrel,BRD-K00003467-001-01-9,-0.0079,0.5003140708066497,64,554,0.2381,0.2443,0.9962626903601212
L-694247,BRD-K18816859-001-06-9,-0.0075,0.8662803336748934,64,556,-0.0731,-0.0823,0.9962626903601212
paeoniflorin,BRD-K83631119-001-04-9,-0.0071,0.5212079016719073,64,556,-0.0745,-0.0771,0.9962626903601212
AZD2098,BRD-K00076909-001-02-9,-0.007,0.8208058941765581,63,545,0.12,0.0964,0.9962626903601212
rimeporide,BRD-K00004645-001-01-9,-0.007,0.7581780517671827,64,557,-0.1936,-0.1953,0.9962626903601212
NN-DNJ,BRD-K00004640-001-01-9,-0.0066,0.6575951378479934,64,557,-0.1567,-0.1149,0.9962626903601212
sardomozide,BRD-K00003165-300-01-9,-0.0065,0.9560683869062372,64,554,-2.7677,-2.7134,0.9962626903601212
GSK2239633A,BRD-K00003364-001-01-9,-0.0061,0.9697781358175865,64,557,-0.1022,-0.0595,0.9962626903601212
JNJ-10397049,BRD-K61721596-001-01-0,-0.006,0.8616450903212235,64,556,0.0872,0.0076,0.9962626903601212
IOX1,BRD-K70751730-001-10-4,-0.006,0.9184297798512528,64,554,-0.0026,-0.0249,0.9962626903601212
R-121919,BRD-K00004717-001-01-9,-0.006,0.5941973448705091,64,554,-0.0187,-0.0655,0.9962626903601212
MDL-27531,BRD-K50888640-001-01-6,-0.0057,0.9766989312621466,64,554,-0.0505,-0.0927,0.9962626903601212
dynasore,BRD-K87718015-001-04-9,-0.0056,0.9102177012715376,64,554,-0.065,-0.1002,0.9962626903601212
CaCCinh-A01,BRD-A90751343-001-02-9,-0.0054,0.9750152252521229,64,556,0.0424,-0.0099,0.9962626903601212
AMZ30,BRD-K00256256-001-06-1,-0.0054,0.9684440682890627,64,554,-0.1037,-0.0639,0.9962626903601212
AZ7550,BRD-K00003515-003-01-9,-0.0051,0.7755915004209906,64,557,-5.3479,-5.5958,0.9962626903601212
CIM-0216,BRD-A75514485-001-02-9,-0.0051,0.9096314805520094,64,554,0.2125,0.215,0.9962626903601212
parcetasal,BRD-K00004740-001-01-9,-0.0049,0.41663663824458774,64,554,0.0349,0.0902,0.9931150056270361
mivobulin,BRD-K39576764-071-01-6,-0.0048,0.5197837409013208,64,554,-3.7732,-3.2799,0.9962626903601212
Balovaptan,BRD-K00091279-001-01-9,-0.0047,0.9806598002174771,63,545,0.0688,0.0588,0.9962626903601212
Arimoclomol (maleate),BRD-K00090627-050-01-9,-0.0041,0.8184501787862497,63,545,-0.057,-0.0373,0.9962626903601212
ACT-132577,BRD-K34843150-001-03-0,-0.0041,0.8687362838762135,64,554,-0.1342,-0.1383,0.9962626903601212
A-887826,BRD-K20239555-001-02-9,-0.0039,0.8901048184186299,64,556,-0.1739,-0.1538,0.9962626903601212
TEPP-46,BRD-K01826017-001-02-9,-0.0039,0.9000137160737594,64,556,0.0452,0.0437,0.9962626903601212
propagermanium,BRD-K53382462-001-02-0,-0.0038,0.6474871929408683,64,556,0.0884,0.1508,0.9962626903601212
batefenterol,BRD-K00003148-001-01-9,-0.0032,0.7279118991874554,64,554,-0.0101,0.0658,0.9962626903601212
Finerenone,BRD-K00075103-001-02-9,-0.0031,0.8249322757272066,63,545,-0.0043,0.0346,0.9962626903601212
ascomycin,BRD-K88882192-001-03-3,-0.0024,0.8833072568344497,64,554,-0.1038,-0.0908,0.9962626903601212
S-trityl-L-cysteine,BRD-K09774593-001-02-9,-0.0022,0.854789903983354,64,554,-1.7111,-1.5192,0.9962626903601212
verdiperstat,BRD-K00004612-001-01-9,-0.0021,0.554896084665139,64,554,-0.0517,0.0176,0.9962626903601212
SGS-742,BRD-K00004650-001-01-9,-0.0021,0.6464605647846786,64,557,-0.0933,-0.0647,0.9962626903601212
CHC,BRD-K60302405-001-04-5,-0.0016,0.5990348841529209,64,556,-0.0673,-0.0128,0.9962626903601212
zebularine,BRD-K87714311-001-05-9,-0.0012,0.7682496983673005,64,554,-0.0716,-0.0313,0.9962626903601212
cipargamin,BRD-K27811785-001-02-9,-0.001,0.9656142210789014,64,556,-0.3551,-0.3701,0.9962626903601212
Adriforant (hydrochloride),BRD-K00075632-305-02-9,-0.0008,0.9794512971493121,63,545,-0.1481,-0.1796,0.9962626903601212
IT1t,BRD-K73499906-300-02-9,-0.0003,0.8621053674793004,64,553,-0.2685,-0.2813,0.9962626903601212
CW-008,BRD-K84068331-001-02-9,0.0001,0.504595470863666,64,556,-0.2857,-0.2114,0.9962626903601212
tulrampator,BRD-K00005240-001-01-9,0.0003,0.7078677383831131,64,556,-0.0929,-0.0723,0.9962626903601212
ligustilide,BRD-K48875051-001-01-0,0.0005,0.5880688260262033,64,554,-0.1314,-0.0938,0.9962626903601212
EF5,BRD-K00004643-001-01-9,0.0011,0.9654966761878414,64,554,0.0311,0.0659,0.9962626903601212
evocalcet,BRD-K00003250-001-01-9,0.0014,0.9321710059535391,64,556,0.015,-0.0,0.9962626903601212
ATR inhibitor 2,BRD-K00091072-001-01-9,0.0014,0.9667653920698749,63,545,-3.9882,-4.2085,0.9962626903601212
sucrose,BRD-K74724920-001-02-4,0.0018,0.7078677383831131,64,556,-0.0345,-0.0371,0.9962626903601212
DIM-C-pPhCO2Me,BRD-K00005337-001-01-9,0.0018,0.9052660195387661,64,556,-2.6623,-2.4782,0.9962626903601212
LY2857785,BRD-K15382985-001-01-7,0.0019,0.7273566324977108,64,554,-6.6626,-6.678,0.9962626903601212
mandelic-acid,BRD-A91448670-001-08-9,0.0021,0.737930869484887,64,554,-0.0809,-0.0663,0.9962626903601212
asapiprant,BRD-K00003230-001-01-9,0.0022,0.7592979111187314,64,557,-0.0444,0.0172,0.9962626903601212
levamlodipine,BRD-K00005329-074-01-9,0.0027,0.7220710975158768,64,557,-0.1314,-0.2033,0.9962626903601212
Decoglurant,BRD-K00079087-001-02-9,0.0032,0.8927347682105385,63,545,-0.0605,-0.0467,0.9962626903601212
Dusquetide,BRD-K00073831-019-02-9,0.0037,0.3657201717778188,63,545,-0.121,-0.0034,0.9730890654238099
PBT-1033,BRD-K00004615-001-01-9,0.0039,0.7581013711274817,64,554,-0.8456,-0.8982,0.9962626903601212
ASTX660,BRD-K00003508-001-01-9,0.0039,0.5407347527422826,64,557,-0.6156,-0.5161,0.9962626903601212
riboflavin-tetrabutyrate,BRD-K74227494-001-03-9,0.0039,0.7942529971442345,64,557,0.0859,0.0457,0.9962626903601212
A-839977,BRD-K60427831-001-02-9,0.004,0.8909001168855897,64,554,0.0387,0.0321,0.9962626903601212
PF-06282999,BRD-K00003279-001-01-9,0.004,0.48688023901219524,64,556,0.0566,0.08,0.9962626903601212
bromebric-acid,BRD-K17874929-236-02-0,0.0042,0.9222171703961274,64,556,0.0406,0.0475,0.9962626903601212
Dinotefuran,BRD-K00084839-001-01-9,0.0043,0.928770903859276,63,545,0.1267,0.1348,0.9962626903601212
sodium-orthovanadate,BRD-K60600693-314-03-2,0.0046,0.7014251134953999,64,554,-0.0522,-0.0222,0.9962626903601212
LAS101057,BRD-K00079404-001-02-9,0.005,0.8909381348972903,63,545,0.0664,0.0516,0.9962626903601212
MSDC-0602K,BRD-K00004703-001-01-9,0.0051,0.9944238046811069,64,557,0.0748,0.1038,0.9978511439730471
osilodrostat,BRD-K00003210-001-01-9,0.0054,0.8844794739407142,64,557,0.0912,0.1018,0.9962626903601212
SAR-260301,BRD-K00073070-001-02-9,0.0054,0.6396642997225377,63,545,-0.1051,-0.1878,0.9962626903601212
ruboxistaurin,BRD-K27677357-003-04-9,0.0054,0.9008442505853308,64,554,-1.1251,-1.0485,0.9962626903601212
Pyriproxyfen,BRD-K00084847-001-01-9,0.006,0.8843553378270674,63,545,-0.1978,-0.1785,0.9962626903601212
BHQ,BRD-K95603879-001-08-9,0.0062,0.7129707125742151,64,554,0.0637,0.0756,0.9962626903601212
sultamicillin,BRD-K00004694-001-01-9,0.0063,0.9732977282121485,64,557,-0.0088,-0.008,0.9962626903601212
PHA-568487,BRD-K48053228-051-02-9,0.0064,0.9643178490694373,64,554,0.0025,0.0002,0.9962626903601212
trabodenoson,BRD-K00004698-001-01-9,0.0066,0.9598093805562217,64,557,0.0231,0.0028,0.9962626903601212
talsaclidine,BRD-K00004651-001-01-9,0.0069,0.6200414141678618,64,554,0.1764,0.1012,0.9962626903601212
sinefungin,BRD-K91100918-001-03-8,0.007,0.9684440682890627,64,554,0.0633,0.0445,0.9962626903601212
eleclazine,BRD-K00003225-003-01-9,0.0071,0.24524486787482114,64,557,0.0535,-0.058,0.9487690209253847
ningetinib-tosylate,BRD-K00003476-075-01-9,0.0071,0.6613237691375415,64,557,-0.1692,-0.1579,0.9962626903601212
fluralaner,BRD-K00003239-001-01-9,0.0072,0.6438209859355741,64,557,-0.0944,-0.1269,0.9962626903601212
isoquercitrin,BRD-K73991644-001-07-9,0.008,0.40820370161628017,64,554,0.0329,0.0468,0.9869805608457428
ICA-069673,BRD-K59839632-001-02-9,0.0082,0.8007369912510024,64,556,-0.133,-0.1011,0.9962626903601212
9-ING-41,BRD-K00091104-001-01-9,0.0089,0.9885160281894549,63,545,-2.973,-3.1032,0.9978511439730471
elacestrant,BRD-K00003295-300-01-9,0.0091,0.838239423535781,64,557,-4.3453,-4.5503,0.9962626903601212
AZD3264,BRD-K14287049-001-01-3,0.0093,0.9802375454054416,64,554,0.043,0.0226,0.9962626903601212
PF-06260414,BRD-K00004644-001-01-9,0.0093,0.9732977282121485,64,557,-0.2159,-0.2051,0.9962626903601212
mecysteine,BRD-K81993098-003-15-0,0.0096,0.6336709678897963,64,554,0.0058,-0.0837,0.9962626903601212
CJ-13610,BRD-K00004624-001-01-9,0.0098,0.9543012268743389,64,554,-0.0908,-0.0718,0.9962626903601212
THK5351,BRD-K00003401-001-01-9,0.0098,0.634197711744937,64,554,-0.0735,-0.1275,0.9962626903601212
sulfatinib,BRD-K00003125-001-01-9,0.01,0.5088404114077967,64,556,-0.2781,-0.3737,0.9962626903601212
alinidine,BRD-K00004709-001-01-9,0.01,0.8722966317090122,64,557,0.0464,0.0876,0.9962626903601212
imirestat,BRD-K00003208-001-01-9,0.0101,0.4007016922240949,64,554,0.06,0.0189,0.9869805608457428
tucidinostat,BRD-K95216408-001-02-9,0.0103,0.9348791967867653,64,554,-0.6374,-0.6562,0.9962626903601212
ON123300,BRD-K88554883-001-03-2,0.0106,0.7234737881974688,64,554,-0.6804,-0.7533,0.9962626903601212
propyphenazone,BRD-K06520168-001-03-9,0.0112,0.9260630997011201,64,554,0.1934,0.2209,0.9962626903601212
OR-1896,BRD-K86283245-001-03-9,0.0113,0.9065265776319759,63,545,0.0557,0.0574,0.9962626903601212
L-760735,BRD-K30425481-003-02-9,0.0114,0.8506557506651757,64,556,-0.0879,-0.093,0.9962626903601212
cbl0137,BRD-K00003273-003-01-9,0.0115,0.9538698364940694,64,556,-7.3004,-7.4293,0.9962626903601212
BAY-2402234,BRD-K22379844-001-04-9,0.0115,0.8462959004535198,64,557,-1.1369,-1.1961,0.9962626903601212
THZ531,BRD-K00104123-001-01-9,0.0116,0.6337172763648717,63,545,-5.8715,-5.786,0.9962626903601212
vericiguat,BRD-K00003234-001-01-9,0.0116,0.7645158677515138,64,556,-0.0736,-0.043,0.9962626903601212
A12B4C3,BRD-A30000356-001-02-9,0.0118,0.9515220792882371,64,556,0.174,0.1438,0.9962626903601212
upamostat,BRD-K00003218-001-01-9,0.0121,0.9025128750359768,64,557,-0.843,-0.8577,0.9962626903601212
verucerfont,BRD-K00003180-001-01-9,0.0121,0.6005719752895408,64,556,-0.0172,0.0935,0.9962626903601212
funapide,BRD-K00004702-001-01-9,0.0122,0.8786745315352286,64,557,0.0001,-0.0236,0.9962626903601212
oxaceprol,BRD-K65230684-001-06-9,0.0122,0.8230267559895199,64,556,-0.0486,-0.0972,0.9962626903601212
amyloid P-IN-1,BRD-K00090622-001-01-9,0.0123,0.9335884213763381,63,545,-0.0438,-0.0522,0.9962626903601212
voruciclib,BRD-K00004725-001-01-9,0.0124,0.9873158708089805,64,554,0.006,0.0389,0.9978511439730471
parsaclisib,BRD-K00004594-001-01-9,0.0125,0.9961846919474572,64,557,-0.0744,-0.0931,0.9981599424932882
fantofarone,BRD-K00003465-001-01-9,0.0127,0.8767262241641651,64,556,-0.2465,-0.2094,0.9962626903601212
AZD1390,BRD-K00003509-001-01-9,0.0129,0.5708317600795081,64,557,-0.3387,-0.3191,0.9962626903601212
sograzepide,BRD-K00004608-001-01-9,0.0132,0.47981348875285823,64,557,0.0981,0.0143,0.9962626903601212
MK-8617,BRD-K00003397-001-01-9,0.0132,0.7468742106222344,64,554,0.0618,0.1227,0.9962626903601212
PTI-428,BRD-K00091089-001-01-9,0.0132,0.7201016657744036,63,545,0.1149,0.113,0.9962626903601212
diquafosol,BRD-K00003514-342-01-9,0.0139,0.7812333715986377,64,557,-0.1495,-0.0679,0.9962626903601212
JW-642,BRD-K48424871-001-04-9,0.014,0.9585665316585448,64,556,0.1116,0.1141,0.9962626903601212
PBI-4050,BRD-K00003391-236-01-9,0.0141,0.7414422427101561,64,557,0.1209,0.0875,0.9962626903601212
ethanolamine-oleate,BRD-M75061779-001-01-2,0.0143,0.9709017817091926,64,556,-0.1128,-0.0929,0.9962626903601212
eltanexor,BRD-K00003369-001-01-9,0.0148,0.9325274115134925,64,554,-4.0939,-3.9912,0.9962626903601212
Olutasidenib,BRD-K00091092-001-01-9,0.015,0.8149196832554326,63,545,-0.2182,-0.172,0.9962626903601212
TCN238,BRD-K77915400-001-01-6,0.015,0.8069338140329251,64,554,0.0882,0.0583,0.9962626903601212
evenamide,BRD-K00004688-001-01-9,0.0153,0.7564992143527294,64,557,-0.0308,-0.0317,0.9962626903601212
GSK-626616,BRD-K00090633-001-01-9,0.0158,0.6043419221968547,63,545,-0.3474,-0.3548,0.9962626903601212
3-methyl-GABA,BRD-K01825682-074-02-9,0.0166,0.920777726071692,64,554,-0.1519,-0.097,0.9962626903601212
PD-81723,BRD-K77951111-001-05-9,0.017,0.7084159225218254,64,556,-0.1905,-0.1576,0.9962626903601212
Metoprine,BRD-K77185060-001-08-9,0.0173,0.904725955861915,63,545,-2.2053,-2.1677,0.9962626903601212
Rupintrivir,BRD-K00075060-001-02-9,0.0183,0.6043419221968547,63,545,0.152,0.1971,0.9962626903601212
RBC8,BRD-A67036568-001-03-9,0.0184,0.8651210851323268,64,556,0.0759,0.0541,0.9962626903601212
mirogabalin-besylate,BRD-K00003484-074-01-9,0.0185,0.9200126764545904,64,557,-0.0406,0.0216,0.9962626903601212
KR-33494,BRD-K00004587-001-01-9,0.0185,0.26774367991646675,64,557,-0.0076,-0.045,0.9487690209253847
AX-024,BRD-K00003479-003-01-9,0.0189,0.9162410984341349,64,551,0.1605,0.1369,0.9962626903601212
tinazoline,BRD-K00004663-001-01-9,0.0191,0.9755194916702472,64,554,0.0024,-0.0044,0.9962626903601212
LY2795050,BRD-K00003195-001-01-9,0.0193,0.9165093399866806,64,557,0.0455,0.0551,0.9962626903601212
Pexacerfont,BRD-K00073864-001-02-9,0.0194,0.8616789240504934,63,545,0.0065,0.0002,0.9962626903601212
valbenazine,BRD-K00003233-001-01-9,0.0195,0.956292415792058,64,557,-0.1259,-0.0821,0.9962626903601212
sobuzoxane,BRD-K87595680-001-05-9,0.0196,0.936643409888358,64,554,-0.0584,-0.1029,0.9962626903601212
ceftobiprole,BRD-K00003117-001-01-9,0.02,0.8434166962657106,64,557,-0.1112,-0.1316,0.9962626903601212
epigallocatechin-(-),BRD-K27529556-001-04-9,0.0202,0.7096651156062908,64,554,-0.0987,-0.0891,0.9962626903601212
lusutrombopag,BRD-K93228461-001-02-9,0.0203,0.7919844806945061,64,557,0.0369,0.0893,0.9962626903601212
ML141,BRD-A28422330-001-11-9,0.0203,0.6169143561822836,64,554,0.1123,0.0896,0.9962626903601212
OXF-BD-02,BRD-A73891132-001-02-9,0.0204,0.8535449619173834,64,556,0.0805,0.1518,0.9962626903601212
ODM-203,BRD-K00091101-001-01-9,0.0205,0.934190785779899,63,545,-0.2052,-0.236,0.9962626903601212
OR-486,BRD-K18602506-001-09-9,0.0207,0.7279118991874554,64,554,-0.0497,-0.0121,0.9962626903601212
Zearalanol,BRD-K11848003-001-17-9,0.0207,0.697553516842231,63,545,0.0796,0.0566,0.9962626903601212
MHP,BRD-K00074484-001-02-9,0.0211,0.8933337688034739,63,545,-0.0116,-0.0417,0.9962626903601212
furamidine,BRD-K77758223-300-02-9,0.0212,0.9433083753024953,64,556,-0.324,-0.3408,0.9962626903601212
radotinib,BRD-K00004716-001-01-9,0.0213,0.7541659213371694,64,554,0.041,0.0178,0.9962626903601212
tomeglovir,BRD-K00003487-001-01-9,0.0214,0.7102156710862075,64,554,0.0039,0.0473,0.9962626903601212
Zotatifin,BRD-K00090648-001-01-9,0.0215,0.8765859837415386,63,545,-4.6258,-4.6949,0.9962626903601212
taminadenant,BRD-K00004682-001-01-9,0.0216,0.9025128750359768,64,557,-0.0253,-0.0533,0.9962626903601212
thiotepa,BRD-K09631521-001-12-3,0.0217,0.5731818896067369,64,556,-0.0494,-0.0704,0.9962626903601212
GSK369796,BRD-K00003121-300-01-9,0.0217,0.7939102142021577,64,556,-0.4089,-0.3962,0.9962626903601212
NK-252,BRD-K47441935-001-02-9,0.0219,0.63209185073362,64,554,-0.0848,-0.0354,0.9962626903601212
Kojic acid,BRD-K20878815-001-06-9,0.022,0.6847067381010828,63,545,-0.0823,-0.0617,0.9962626903601212
URMC-099,BRD-K66908976-001-01-8,0.0221,0.41536518566749336,64,554,-0.9016,-0.9303,0.9931150056270361
AZD0156,BRD-K69555850-001-02-9,0.0223,0.6801668804693137,64,554,0.0259,0.0798,0.9962626903601212
loracarbef,BRD-K28935038-002-03-9,0.0226,0.9466462403829989,64,554,-0.0472,-0.0729,0.9962626903601212
TCS-2210,BRD-K19958299-001-02-9,0.0231,0.7323591532956634,64,554,-0.3141,-0.2732,0.9962626903601212
uprifosbuvir,BRD-K00003526-001-01-9,0.0231,0.6784749586514289,64,557,-0.1524,-0.1661,0.9962626903601212
GLPG0974,BRD-K00078613-001-02-9,0.0232,0.8557295610156295,63,545,-0.0553,-0.0629,0.9962626903601212
MSC2360844,BRD-K00091079-001-01-9,0.0235,0.7337498706488115,63,545,-0.2438,-0.2767,0.9962626903601212
riodoxol,BRD-K48963429-001-01-9,0.0236,0.8339564413650697,64,554,-0.1407,-0.1083,0.9962626903601212
verdinexor,BRD-K00004674-001-01-9,0.0246,0.8739769667410592,64,554,-5.5271,-5.6585,0.9962626903601212
simurosertib,BRD-K00004727-001-01-9,0.0252,0.7575387773914526,64,554,-1.6834,-1.8776,0.9962626903601212
octodrine,BRD-A37873789-003-02-9,0.0254,0.9961585465652214,64,553,-0.0621,-0.0236,0.9981599424932882
AZ 628,BRD-K05804044-001-18-5,0.0255,0.2730534940906918,64,560,-0.5663,-0.8539,0.9487690209253847
BRD-K05804044-001-18-5,BRD-K05804044-001-18-5,0.0255,0.2730534940906918,64,560,-0.5663,-0.8539,0.9487690209253847
Lonapalene,BRD-K00076155-001-02-9,0.0256,0.7792512735802581,63,545,-0.201,-0.2459,0.9962626903601212
acumapimod,BRD-K00003220-001-01-9,0.0259,0.8213068325278164,64,556,0.0321,0.0979,0.9962626903601212
pavinetant,BRD-K00003170-001-01-9,0.0261,0.5371957364023447,64,554,0.1779,0.1269,0.9962626903601212
desidustat,BRD-K00003452-001-01-9,0.0268,0.7234737881974688,64,554,0.0901,0.0564,0.9962626903601212
API-1,BRD-K97840621-001-02-9,0.0272,0.7583395047126107,64,556,-2.1998,-1.9849,0.9962626903601212
LMK-235,BRD-K49921286-001-02-6,0.0272,0.8813758550788651,64,556,-1.2124,-1.1752,0.9962626903601212
VLX1570,BRD-K00003343-001-01-9,0.0276,0.5200062885486216,64,557,-10.5714,-10.7855,0.9962626903601212
GGsTop,BRD-A25625670-001-02-7,0.0282,0.9855461740768382,64,554,-0.0556,-0.0874,0.9973885179576013
velpatasvir,BRD-K00003133-001-01-9,0.0283,0.9680185560405152,64,557,-0.1505,-0.1279,0.9962626903601212
pimodivir,BRD-K00003127-001-01-9,0.029,0.5728328733625367,64,557,0.0039,-0.0127,0.9962626903601212
1E-1-(2-hydroxy-5-methylphenyl)-1-dodecanone-oxime,BRD-A37752546-001-02-9,0.0291,0.8005003421585775,64,557,-0.0354,0.011,0.9962626903601212
Melflufen (hydrochloride),BRD-K00075584-003-02-9,0.0292,0.9311793474406596,63,545,-5.4724,-5.5612,0.9962626903601212
BMS-207940,BRD-K00004634-001-01-9,0.03,0.7525864062299078,64,557,0.1471,0.1313,0.9962626903601212
ATB-346,BRD-A52551912-001-02-9,0.0307,0.7502368452788326,64,554,0.1145,0.1136,0.9962626903601212
AR-9281,BRD-K00078154-001-02-9,0.0309,0.9649537313774862,63,545,0.0618,0.0753,0.9962626903601212
losartan,BRD-K76205745-237-22-9,0.0311,0.8514836180413541,64,557,-0.1147,-0.0926,0.9962626903601212
guancydine,BRD-K00005334-001-01-9,0.0312,0.7564139754309186,64,554,0.1136,0.1377,0.9962626903601212
leonurine,BRD-K00004696-001-01-9,0.0313,0.8033442950301375,64,557,0.0276,0.0294,0.9962626903601212
antimonyl,BRD-A74328360-409-02-8,0.0313,0.752481245603473,64,554,-0.4726,-0.4873,0.9962626903601212
galidesivir,BRD-K00003270-003-01-9,0.0315,0.9081857725587595,64,556,0.049,-0.024,0.9962626903601212
TAK-779,BRD-K00003155-003-01-9,0.0316,0.7023942635541118,64,556,-0.0098,-0.0555,0.9962626903601212
omadacycline,BRD-K00003569-003-01-9,0.0317,0.6517297597667948,64,556,0.0077,-0.0479,0.9962626903601212
beta-hydroxybutyrate,BRD-A41387824-001-06-0,0.0317,0.7784379043671726,64,554,0.0069,-0.0106,0.9962626903601212
reversine,BRD-K77286328-001-03-7,0.0319,0.4436624866136747,64,556,-1.4319,-1.6003,0.9962626903601212
BMS-214662,BRD-K00003203-001-01-9,0.0321,0.8953486675829717,64,556,-7.4278,-7.3616,0.9962626903601212
TC-O-9311,BRD-K54297077-001-02-9,0.0322,0.7382354455680458,64,556,-0.026,-0.0952,0.9962626903601212
NFKB-activation-inhibitor-II,BRD-K83354763-001-07-9,0.0324,0.942526318678753,64,554,-0.0355,-0.0204,0.9962626903601212
FT011,BRD-K00003378-001-01-9,0.0326,0.9755194916702472,64,554,-0.026,-0.0129,0.9962626903601212
Tylvalosin,BRD-K00079560-001-02-9,0.0327,0.7595652716089336,63,545,-0.2773,-0.312,0.9962626903601212
ASP5878,BRD-K00091280-001-01-9,0.0327,0.792066038093846,63,545,-2.7317,-3.0065,0.9962626903601212
AMXT-1501 tetrahydrochloride,BRD-K00091067-376-01-9,0.033,0.6897231323590445,63,545,0.0442,0.0445,0.9962626903601212
mavatrep,BRD-K00003237-001-01-9,0.033,0.6306909287143732,64,557,-0.5862,-0.6212,0.9962626903601212
NU-2058,BRD-K20976221-001-12-0,0.0332,0.7926512421716816,64,554,0.0552,0.0669,0.9962626903601212
BLZ945,BRD-K83157152-001-02-9,0.0335,0.9090453090310147,64,554,0.0346,0.0502,0.9962626903601212
DWK-1339,BRD-K00003171-001-01-9,0.0335,0.5269677206721222,64,556,-0.1368,-0.0906,0.9962626903601212
MK-0608,BRD-K00004557-001-01-9,0.0337,0.9460575901914874,64,554,-0.0355,-0.0439,0.9962626903601212
undecylenic-acid,BRD-K19189338-001-03-2,0.0338,0.9342911963802635,64,554,0.0065,0.0486,0.9962626903601212
monocrotaline,BRD-K65508953-001-13-9,0.0339,0.9147582752976127,64,557,-0.0614,-0.0839,0.9962626903601212
methysergide,BRD-K35941380-050-28-9,0.034,0.9832439967618496,64,556,0.0739,0.0758,0.9962626903601212
doravirine,BRD-K00003231-001-01-9,0.0341,0.7301343918993384,64,554,0.01,0.011,0.9962626903601212
buramate,BRD-K30360804-001-02-9,0.0348,0.738488804687203,64,554,0.0613,0.0267,0.9962626903601212
Zandelisib,BRD-K00093440-001-01-9,0.0352,0.7543796603811603,63,545,-0.4484,-0.4775,0.9962626903601212
AZD7594,BRD-K00003100-001-01-9,0.0353,0.37003747935523723,64,557,0.1075,-0.0542,0.9739180880252424
UC-112,BRD-K73610817-001-10-9,0.0354,0.6165584864356106,64,556,-0.5919,-0.6683,0.9962626903601212
AZD8797,BRD-K03336321-001-02-9,0.0355,0.6779576962621108,64,556,-0.1954,-0.232,0.9962626903601212
OF-1,BRD-K92658264-001-02-9,0.0356,0.6143137680322205,64,554,-0.1748,-0.1959,0.9962626903601212
neurodazine,BRD-K22631935-001-02-7,0.0357,0.8920691556111939,64,554,-0.1274,-0.1296,0.9962626903601212
PSI-697,BRD-K00003192-001-01-9,0.0357,0.43745949432208675,64,557,0.0294,-0.0501,0.9962626903601212
ML213,BRD-K00004301-001-01-9,0.0357,0.9591537230521358,64,556,0.0121,0.0251,0.9962626903601212
YS-201,BRD-K00004746-001-01-9,0.0358,0.9284132165028638,64,554,0.0393,0.0808,0.9962626903601212
"2,4-Dihydroxypyrimidine-5-carboxylic Acid",BRD-K00078070-001-02-9,0.0361,0.6576435415062498,63,545,-0.0255,-0.0292,0.9962626903601212
Saredutant,BRD-K00091297-001-01-9,0.0366,0.9426276876481312,63,545,0.0008,0.0059,0.9962626903601212
DQP-1105,BRD-A67976398-001-02-9,0.0367,0.17313871534549796,64,556,0.0419,-0.0479,0.9487690209253847
Pemigatinib,BRD-K00104124-001-01-9,0.037,0.8480076802198444,63,545,-0.7964,-0.752,0.9962626903601212
PAT-1251,BRD-K00003481-001-01-9,0.0371,0.680708887684216,64,554,0.0578,0.0083,0.9962626903601212
Bimosiamose,BRD-K00077698-001-02-9,0.0372,0.776927637047725,63,545,-0.0006,0.0055,0.9962626903601212
VU152100,BRD-K87727457-001-02-9,0.0373,0.9478236278309436,64,554,-0.0193,-0.0238,0.9962626903601212
veralipride,BRD-K00003433-001-01-9,0.0375,0.8224314881669683,64,554,0.0301,0.0643,0.9962626903601212
cipamfylline,BRD-K00004625-001-01-9,0.0376,0.39821954617670763,64,554,0.196,0.1329,0.9841489090300993
LTA4H-IN-1,BRD-K00091132-001-01-9,0.0376,0.12501825332003233,63,545,-0.1086,-0.1964,0.9275472926169483
monepantel,BRD-K00004607-001-01-9,0.0379,0.4140960282575712,64,554,0.0633,0.0028,0.992749667580259
Tepilamide fumarate,BRD-K00074843-001-02-9,0.038,0.7297602209700185,63,545,-0.1809,-0.1813,0.9962626903601212
levcromakalim,BRD-K24526313-001-17-7,0.038,0.9478236278309436,64,554,-0.1348,-0.1128,0.9962626903601212
lanifibranor,BRD-K00003462-001-01-9,0.0387,0.5553918014986501,64,554,0.0582,0.057,0.9962626903601212
ON-01500,BRD-K55790047-001-02-9,0.0392,0.8524697893301852,64,554,-3.5964,-3.4101,0.9962626903601212
leniolisib,BRD-K00003261-001-01-9,0.0394,0.7349016825349421,64,556,-0.2262,-0.1928,0.9962626903601212
NS-1643,BRD-K73738482-001-01-7,0.0394,0.7227209918611869,64,556,-0.0323,-0.0435,0.9962626903601212
VX-984,BRD-K00091070-001-01-9,0.0396,0.6532662010906614,63,545,-0.5188,-0.4362,0.9962626903601212
PF-06747775,BRD-K00004648-001-01-9,0.0396,0.4288251845071196,64,557,-0.1126,-0.2409,0.9949940755879771
DSR-6434,BRD-K46384285-001-02-9,0.0398,0.8080792743821398,64,554,0.1991,0.2223,0.9962626903601212
Fulacimstat,BRD-K00078209-001-02-9,0.04,0.609106854019054,63,545,0.0538,0.0385,0.9962626903601212
